Company,CY2015Q1,CY2015Q2,CY2015Q3,CY2015Q4,CY2016Q1,CY2016Q2,CY2016Q3,CY2016Q4
Apple Inc.,58000000000,49600000000,51500000000,75900000000,50600000000,42400000000,46900000000,78400000000
MICROSOFT CORP,21700000000,22200000000,20400000000,23800000000,20500000000,22600000000,21900000000,25800000000
NVIDIA CORP,22700000000,23200000000,25400000000,35700000000,29100000000,30400000000,32700000000,43700000000
"Meta Platforms, Inc.",17300000000,17700000000,18700000000,21300000000,20300000000,21500000000,22500000000,26100000000
"Tesla, Inc.",3500000000,4000000000,4500000000,5800000000,5400000000,6400000000,7000000000,8800000000
Alphabet Inc.,900000000,900000000,900000000,1200000000,1100000000,1300000000,2300000000,2300000000
AMAZON COM INC,1150000000,1150000000,1310000000,1400000000,1300000000,1430000000,1580000000,2170000000
